question,answer 
انا باخد دواء retablis 10mg بسبب panic attack وانا الان في مرحلة متدرجة لازالة الدواء ، أشعر دائما بشيئ عالق في الحلق و غثيان و اخراج غازات كثيرة من الفم مع إنتفاخ بطن,حاول تتركه بالتدريج
ما سبب الشعور بضغط شديد في الصدر واحيانا الشعور بخفه في الرأس مع النفس البطئ و دقات قلب متلخبطه و تكون دقة واحده قوية و محسوسه ما السبب للعلم انني كثيرة السهر هل هذا له علاقه؟,نعم له علاقة.نستيقظ فجرًا.ونمنع نوم النهار.وننام بعد العشاء والعشاءونبتعد عن المدخنين.ربما نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
السلام عليكم انا عندي 18 سنه اعناني من اضطراب القلق العام والاكتئاب والتوتر وبقالي خمس سنوات بتناول أدويه كثيره ولا يوجد تحسن ولو وقفت العلاج الاعراض بترجع اذيد من الاول وانا السنادي تالته ثانويه عامه ومحتاجه اركز في دراستي,اتركي من الادويه بالتدريج وانتي يلزم لك علاج نفسي مكثف
سلام عليكم انا انسان احب كرة القدم متوتر داءما في احدى الايام جربت جهاز قياس دقات القلب فوجدته 49 وهو كان خاطىء فاصبت بالخوف من الموت والتوتر المفرط والقلق للعديد من الايام وكانت اسوء ايامي بعد الشفاء اصبت بالخوف من الجنون ثم الخوف من يوم القيامة وكلها مع التوتر وشرب المغنيزيوم الان انا بافكار سلبية,السن؟نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
انا اعاني من ضعف انتصاب ومتخوف لأني مقبل على الزواج ولا اعرف اذا هو ضعف انتصاب ام انا متوهم ولدي مرض سكر لكن سكري منتظم هل ممكن يأثر سكر ع صحتي حتى خطيبتي كلمتني بهاد الموضوع انو سمعت هيك شي وقلتلها اني بحش حالي ممتاز لكن تفكيري بالموضوع يمكن احبطني وخلا حالتي نفسية اكتر من جسدية,نمنع التدخين ونضبط السكر ونثق في أنفسنا وربما نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
عندي تسع سنين وأنا أعاني من خوف وقلق وسواس وصداع وعلى اعصابي دائما تصاحبها اعراض جسديه وهيا وخز في القلب ودقات سريعة مع العلم اني اجريت فحوصات والقلب وتحاليل دايما سليمه ومن يومين ذهبت لى طبيب نفسي قالي ان اعصابك متوتره و وصف لي دواء XANAX و Amytril هل يساعدوني في تحسين حالتي,السن؟ 9؟ 27؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز.
انا عمر عمري ١٤ انا انسان ما اقدر افضفض الا اذا صارت مشكله اطلع كل الي في قلبي و المشكله اصلن مالها دخل,الوزن زائد!!!نحتاج إلى علاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز.
انا عمر عمري 14سنه وانا اعاني من مشاكل من الاهل و صار لي اعتداء جنسي و عمري 6سنوات و وامي ماتت و ابويه مهو داري عني و تجيني افكار انتحاريه و جربت انتحر عن طريق. قطع الوريد و افكار زايده قبل النوم و جدتي مكرهتني في الحياه في حجات كثير بس ما اقدر اقولها هنا وبس,نحتاج إلى رعاية نفسية، وعلاج نفسي مكثف، وتدريب على الاسترخاء والتركيز - رغم كل شيء.
السلام عليكم ابني يدرس في رابع ابتدائي ومشكلته بطيئ الاستيعاب ويسرح كثيرا مع انه يذاكر كثيرا الا ان درجاته ضعيفة لدرجة انه عندما يذهب لأي اختبار في المدرسة لا يجيب على الاسئلة الا واحد او اثنين منها وعندما يأتي الى البيت اعطيه نفس الاسئلة فيجاوبها كيف الحل معه,يحتاج إلى علاج نفسي وربما علاج اسري ايضًا لتحسين التعاملات داخل الأسرة، وتدريب على الاسترخاء والتركيز .
"الشعور بالحزن أو الكآبة
التفكير المشوَّش وضعف القدرة على التركيز
المخاوف الشديدة أو القلق أو الإفراط في الشعور بالذنب
تغييرات حادة في الحالة المزاجية ارتفاعًا وانخفاضًا
التعب الشديد وانخفاض الطاقة أو مشاكل النوم
الانعزال عن الواقع (الأوهام) أو البارانويا أو اله",الطول؟الوزن؟نحتاج إلى متابعة الوزن، وعلاج نفسي مكثف، وتدريب على الاسترخاء والتركيز .
امر بحاله بكاء شديده مفاجئه واحلام بالنوم مو طبيعيه وانام نوم فوف الاازم فوق ٢٠ ساعه احيانا اصحى ٤ او ٥ ساعات وارجع انام ١٥ او ٢٠ ساعه وتنسد شهيتي ف الاكل احيانا وتفكير مفرط,الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز .
دايم احس بحزن وضيقة وكسل لدرجة ماقدر اسوي و اجيب شيء جنبي وصلت لمرحلة عاجزة اسوي لنفسي شيء احب الوحدة اخاف من الناس ومن الكلام اتلعثم كثير واتأتأ والمواجهة التعارف ماقدر اتعرف,الوزن زائدقليلًا؟نحتاج إلى متابعة الوزن، وعلاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز .
أعاني من وساوس خاصة في الأكل لأني كنت أحسب مرات مضغ الطعام بعد ذلك حاولت ارجع طبيعي زي ما كنت لم أستطع تجيني وساوس أن وزني بيزيد ويجيني كثره تفكير ما الحل للتخلص من العقدة,الطول؟الوزن؟نحتاج إلى متابعة الوزن، وعلاج نفسي مكثف، وتدريب على الاسترخاء والتركيز .
انا منعزله عن الناس وأخترع قصص وهميه اعيش فيها وأتحدث مع نفسى ولا استطيع التحكم فى هذا مهما حاولت ولا استطيع التوقف عن التفكير ابدا وهذا الامر يؤثر بشكل كبير على دراستى لا استطيع التركيز اثناء المحاضره ولا الفهم وأعانى من الوسواس القهرى وأشك فى كل امر اقوم به لا اثق بنفسى اطلاقا وتعبت كثيرا,السن؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
زوجي يعاني من الشك ان هناك اشخاص يراقبوه وبعد فتره مرض ابوه بجلطه دماغيه عابره ف بدأ بفقدان الشغف والحزن والبكاء المتواصل والشعور بالقلق والاحباط والضيق ماهي حالته وماذا افعل?,يحتاج إلى علاج نفسي مكثف
ما هو سبب تشنج اليدين انا لدي نوبات هلع و يقول دكتور اخر انها اعراض شحنات كهرباءيه,الطول؟الوزن؟تحتاج علاج نفسي وتدريب على الاسترخاء والتركيز للتغلب على التوترات.
"لا استطيع كتم عصبيتي وعندما يقوم احدهم ب ازعاجي
لا اهاب شيء حتى يأتيني شعور ب اني استطيع اني انهي
حياته واقتله وعندما لا استطيع ان ادافع اعزل نفسي
ولا اتناول الطعام ل ايام",نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء للتغلب على التوترات.
ابنتي عندها ١٥ سنه ليها مده زمنيه بتخترع مواقف وبتقول حاجات انها حصلت ليها بس محصلتش زي انها بتقول انها تعرضت للاغتصاب مع انها سليمة وبتقول كده لقرايبها او اي اشخاص تعرفهم وتقولهم انها هتنتحر وتخترع مواقف ليها زي مثلا انها تقول ليهم عالرسائل انا جالي نزيف وفالمستشفي مع انها بتكون فالبيت معانا وطبيعيه,السن؟الطول؟الوزن؟البنت بتعمل تمثيليات زي اللي بتسمعها من الكبار والتليفزيون والإنترنت والموبايلات.الأطفال في السن ده ساعات كثير بيحبوا يفشروا.ربما تحتاج علاج نفسي وتدريب على التغلب على التوترات.
اعاني من نوبات هلع و قلق مند 5 أعوام تأتيني بالليل على شكل كوابيس توقظني من النوم و بالنهار أيضا تخلف أعراض متل ارتفاع ضربات القلب و الخوف الشديد و أعراض أخرى لا اعرف ما الحل,نحتاج إلى علاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز.
اسمع اصوات ضجيج عالية في رئسي تشبه الطرق واصوات كهربائية او كصوت الطبل وموسيقى وخاصة عند النوم سببت لي الارق وعدم التركيز وتراجع بالمستوى الدراسي تشتت ذهني الحالة منذ سنتين لم اتلقى اي علاج لكن لا يوجد تحسن نهائيا,السن؟الطول؟الوزن؟نوقف التدخين أولًانحتاج إلى علاج نفسي مكثف حضوريًا أو أونلاين، وتدريب على الاسترخاء والتركيز.
"السلام عليكم
انا طالب جامعي في كلية الطب
مستواي في الدراسة جيد و اصدقائي في الكلية يمدحون بمستواي الدراسي، لكن في اليومين السابقين تأتيني افكار (و هي بأني غير قادر على الدراسة و ان المنهج اكبر مني و سوف انسى المادة و إن مدح أصدقائي كان في الماضي اما الان فإن مستواي ضعيف ) مما يصعب علي الدراسة",السن؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف للتعرف على الأسباب وعلاجها، مع التدريب على الاسترخاء والتركيز.
اعاني منذ شهر بسرعه في ضربات القلب وضيق في منتصف الصدر وأشعر برعشه شديده بالجسم وكأن روحي ستخرج مني وزاد هذا الشعور بعد أن سمعت أن الميت يشعر بقرب أجله قبل أربعين يوم وانا افكر بالموت كل يوم ولا استطيع الخروج وانا طالبه بالثانوية وتوقفت عن الدراسة بسبب هذا ولا يوجد طبيب نفسي في بلدي لأزوره,السن؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف حضوريًا أو أنلاين، للتعرف على الأسباب وعلاجها، مع التدريب على الاسترخاء والتركيز.
بقالي يومين بصحة قبل الفجر بشوية أو بعده وأفضل أعيط حاسة بالوحدة وإن مفيش حد بيحبني وحاسة بالغيرة قعدت أشوف فيديوهات للتغلب على الغيرة والحزن بس برضو لسه حاسه بالخنقة مش عارفة أنا عايزة إيه عايزة أحضن ماما وأقولها إني بحبك بس مش عارفة أتكلم وحاسة بالضعف والحزن واايأس وإن صحابي اللي في المدرسة مبحبش,السن؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف فيجلسات كلامية حضورية أو أونلاين، وتدريب على الاسترخاء والتركيز.
عدم الشعور بالاستمتاع كأفراد المجتمع من الفرح او الحزن والاحساس بهما والخمول وثقل في بعض الاحيان بالراس وخاصة بالمنطقة الخلفية مابين الرقبة واعلى الراس وعدم التفكير والعيش كالحلم او كانني غائب عن الوعي عدم الاحساس بالمجتمع,النوع؟السن؟نحتاج إلى علاج نفسي مكثف حضوريًا او أونلاين، لاكتشاف الاسباب وعلاجها والتدريب على الاسترخاء والتركيز.
"عندي مشكله نفسيه عندي حالة تناقض يعني اغير رائي ب
استمرار وذا شي يزعج ويضايق لاكن لا اعرف سببه ايضا اتضايق كثير من مشاكل الناس واحط نفسي مكانهم واحس بشعورهم ونفسيتي تدمرت",نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
اعاني من الوسواس القهري واعاني من تكرار والحاح شديد للتبول مما يؤدي لتسرب البول والقيام من النوم عدة مرات للذهاب للتبول والفحوصات سليمة وصف لي الطبيب سوفيناسين ١٠ وتوقفت عنه بعد ٣ شهور ورجعت لي الاعراض وعندما عدت له لم استجيب له مثل ما كنت والان اخد فافرين ١٠٠ للوسواس ولكن مازالت معي اعراض المثانة,السن؟بعد العرض على الزميل أخصائي المسالك البولية، نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
هل من الصحي قطع المهدئات ومضاد الاكتئاب مثل فلوكستين والتدخين بالتدريج ومسانده مريض الاكتئاب والتقرب منه ودعمه أم أن هذه الادويه شيء اساسي لابد منه ، المريض واهن في كثير من الاحيان واعراض الارهاق والتعب دوما على وجهه ولازال في سن الشباب عشريني,يمنع التدخين فورًا، الوزن قليل ومنخفض؟بعد العرض على أخصائي أمراض الباطنة نحتاج إلى استبدال بالأدوية الدعم والعلاج النفسي المكثف مع التدريب على الاسترخاء والتركيز.
"الرجفان ، التعب الشديد عند القيام بأبسط الاعمال
عدم الشعور بطعم الحياه
احب ان ارى نفسي تتألم
تقطيع اليد وشد الشعر
كره النفس بشده
الانتحار
افكار سوداويه
محد يفهمني
مكتومه
انقطاع النفس فجأة والدوخان
عدم الاتزان جيداً",انتي تحاتجين علاج مكثف حضوري
انا اتعصب بسرعه جدا لا يستطيع احد ان يجعلنى اهدئ لدرجه انى كسرت يدى من قبل عندما اتعصبت و لا استطيع التنفس لمده كبيره,الشعور بالغضب غالبا ما يكون نتيجه مشاعر أخرى مثل الحزن و الذنب و الندم، و يكون نتيجه أفكار سلبيه و اندفاعيه، أحيانا التحكم فى الغضب يحتاج الى العلاج الدوائى لفتره محدده، لكن فى الغالب يحتاج الى خطوات و جلسات نفسيه تهدىء من التراكمات الانفعاليه و الضغط العصبى و التعامل مع الغضب بشكل مختلف
أخذت جرعة من كلوزابيكس نمت وبعد فترة قليلة جاءت بعض الأعراض مثل هلوسه ،عدم توازن ،ضيق في التنفس ،عدم القدرة على المشي ،شعور بالبرد في جسمي,"بداية فإنه في حال استخدامك لدواء كلوزابيكس (بالإنجليزية: Clozapex) الذي يحتوي على المادة الفعالة كلوزابين (بالإنجليزية: Clozapine) تحت إشراف الطبيب وبهدف علاج مشكلة نفسية لديك ففي هذه الحالة عليك مراجعة طبيبك المسؤول عن حالتك دون تأخير، لأن ظهور هذه الأعراض بعد استخدام دواء كلوزابيكس يستدعي مراجعة الطبيب على الفور قبل أن يحين موعد الجرعة التالية.
أما في حال استخدامك لدواء كلوزابيكس دون وصف طبية فيجب عليك التوقف عن استخدام الدواء على الفور لمنع تطور مضاعفات صحية خطيرة قد تكون مهددة للحياة، وفي حال عدم قدرتك على التوقف عن استخدام الدواء فيجب عليك مراجعة طبيب مختص أيضًا لمساعدتك على التخلص من أعراض انسحاب الدواء ومساعدتك على التوقف عن استخدام الدواء.
يجدر الذكر أن دواء كلوزابيكس عند استخدامه ضمن الجرعة الموصوفة وعند الالتزام بتعليمات الطبيب لا يسبب آثار جانبية خطيرة، ولكن عدم الالتزام بالجرعة الموصوفة أو استخدام الدواء بطريقة غير صحيحة قد يسبب التعلق بالدواء، ويسبب مضاعفات صحية خطيرة.
أود لفت انتباهك أيضًا أنه في حال استخدامك لدواء كلوزابيكس بوصفة طبية واستخدام الدواء بشكل دوري، وظهور هذه الأعراض بشكل مفاجئ فإنها قد لا ترتبط باستخدامك لدواء كلوزابيكس وقد تكون ناجمة عن مشكلة صحية أخرى، وتستدعي هذه الأعراض في جميع الأحوال مراجعة الطبيب على الفور.
للمزيد:

أنواع ومخاطر الإدمان
حقائق حول الإدمان وخطورته على الفرد"
السلام عليكم انا شاب عمري 29 سنة اعاني من وسواس مثل وسواس الموت وتفاقم الامر الان حتى عدت اعاني من لهثة وتعب وسرعة في دقات القلب بعد اقل مجهود مثل صعود درج وحمل اشياء وحتى في المشي مع العلم الفحص السريري والتخطيط القلب يؤكد ان القلب سليم وشكرا لكم,"اهلا ومرحبا
حالات الهلع يتم علاجها من خلال الادوية والعلاج المعرفي السلوكى
توقف عن المنيهات.
الاكل الصخى والنوم الصحى
مارس رياضه. ولتكن المشي على الاقل"
السلام عليكم اعاني من وسواس الموت وذهبت الي طبيب نفسي أعطاني دواء فافرين حبايه 100كل مساء واول حبايه اصابتني بأعراض جانبيه شديده جدا وبدأت اتناول نصف حبه وهوا 50 كل مساء لمده اسبوع ولن اتحسن بل أشعر بقلم في العضلات وارخاء وتشويش في البصر وتخيلات هل دا امر طبيعي ولا اوقف العلاج ولا ماذا أفعل,السن؟الطول؟الوزن؟ربما نحتاج إلى علاج نفسي بعد استئذان الطبيب المعالج في وقف العلاج الدوائي أو مصاحب له مع التدريب على الاسترخاء والتركيز.
الشخص المصاب بهذا الاضطراب يكون له ميول جنسي (المثلية) وهذا الشي انا اعاني بشكل غير طبيعي لدرجة جاني اكتئاب وكره للذات، كيف اقدر اعالج المشكله هذي؟,"الاكتئاب المترتب على المشكله يحتاج لتدخل دوائي.
اما المشكلة فى حد ذاتها فتحتاجً لجلسات علاج سلوكى معرفى"
عمري ٤٢ ماعندي امراض مزمنة بألي اعاني من سنة باستيقظ على سماع ضربات قلبي وتوصل دقات قلبي لل١٤٠ شي نص ساعة وبتزول لوحدها وضيق نفس واحيانا بتجيني النوبات التسرع فجاة او شعور بالاغماء عملت تخطيط وايكو وهولتر واختبار جهد كل طبيب يقلي شي دكتور متلازمة wpwشي تسرع قلب فوق بطيني شي نوبات هلع تعبت شو معي,"نوبات الهلع تحتاج للتدخل الدوائى وعمل جلسات علاج سلوكى معرفى
توقف عن التدخين والقهوه والمنبهات بصفه عامه. ومارس رياضهخفيفه بشكل منتظم"
السلام عليكم انا سيدة عمرى 32 عام متزوجة ولدى طفلتان عمر سنتين و تسع اشهر لا اعانى من اى امراض مزمنة .. منذ فترة بدأت اشعر فجاة وبدون اى اسباب بالرغبة فى الضحك مجرد ابتسامة او ضحكة بسيطة وليس ضحك هستيرى يحدث ذلك فى اوقات متفرقة وفى اوقات لا يوجد مجال للضحك فهل هذا امر طبيعى ام يستدعى الكشف الطبى,الطول؟الوزن؟الضحك والانبتسام شيء لطيف.. يتمناه الكثيرون.ربما نحتاج إلى علاج نفسي مع التدريب على الاسترخاء والتركيز.
"انا شاب عندي ١٧ سنه
انا الفتره دي انا مش فاهم انا فيا ايه كل اللي انا حاسه اني افكاري مشوشه وبحس اني مش ف الواقع والموضوع مأثر ع تفكيري جدا غير غير اني مش بنام بسبب التفكير ف شئ انا جاهلو اصلا وحاسس باني مرهق نفسياومش عارف ادعم نفسي وعندي مخاوف اني افضل كدا مشوش وزعلان علطول لاني مش فاهم بيحصل",الطول؟الوزن؟ربما نحتاج إلى علاج نفسي من التشوش والتوتر وأخطاء التفكير مع التدريب على الاسترخاء والتركيز.
السلام عليكم انا شاب عمري 18 سنةاعاني من القلق والتوتر واصبحت اشعر بضربات قلبي احس بيها من داخلي اشعر بقليي وهو يضخ الدم مع العلم اني عامل رسم قلب والايكو وكانت تجيني قبلها نبضة ساقطة ولكنها راحت وكان عندي خفقان في القلب وذهب بالعلاج ولكن هذا الشعور يشتد علي وقت النوم او الاسترخاء +لا توجد اعراض اخر,الطول؟الوزن؟ربما نحتاج إلى علاج نفسي من القلق والتوتر مع التدريب على الاسترخاء والتركيز.
صباح الخير انا عندي مشكله ﻓي النوم من سنه تقريبا النوم والله العظيم اني اجلس بعض الاحيان اكثر من 24 ساعة مانام والتفكير تعبني مررره واخاف اني اذا نمت اصحى بعد ساعه تعبت والله,الوزن زائد كثيرًانستيقظ فجرًاونمنع النوم حتى العِشاء والعَشاء الخفيف.ونمارس كل الانشطة وأنواع الرياضة والمشي، ونمنع الدهون والنشويات والسكريات في طعامنا. وربما نحتاج إلى علاج نفسي وتدريب على الاسترخاء والتركيز.
تتكلم مع نفسها ما تخاف من احد قاعدة تعيش انها معنفه مجروحه اوقات تجرح نفسها تبا تتزوج في دا العمر تشوف زواج تحرير لها اشياء كثير بس دا مختصر الكلام,الوزن قليل بعض الشيء!!!تحتاج إلى علاج نفسي مكثف وربما علاج أسر ي كذلك.
انا الان طالب جامعي لا استطيع المشاركه في القاعه ولا استطيع تكوين صداقات ودائما اشعر انني ممل بنسبه للاشخاص الذين اجلس معهم لدي قضم اضافر ويصيبني ما اعتقد انه نوع من القلق عند اي موقف اجتماعي هاذا الموضوع يوثر على دراستي لاني لا استطيع المشاركه في القاعه ولا استطيع تكوين او الاستمرار بلعلاقات,السن؟الطول؟الوزن؟نتوقف عن التدخين أولًانحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.. حضوريًا أو أنلاين!
هل ادوية الاكتئاب مثل اريببركس و لوسترال تسبب كثرة الأحلام وعدم الراحة أثناء النوم ؟,اريبيبركس ليس مضاد اكتئاب و بعض الادويه يفضل ان تؤخد فى الصباح و بعضها فى المساء، و هذا حتى لا يؤثر على راحة النوم و مدته
قلق وخوف مفاجئ وغير مفاجئ الم في الصدر صداع رجفه اليد والرجل وتشنج اليد في بعض الاحيان التنفس بسرعه نبضات القلب تكون سريعه جدا,هذا اسمها نوبات هلع، و بتكون نتيجه قلق او stress من فتره طويله و بتحتاج احيانا للعلاج الدوائى او الجلسات النفسيه و الخطوات البسيطه
لدي الخوف من الأهل ودائما اجلس وحدي في الغرفة واحب الأكل لوحدي وانتظر الليل بفارغ الصبر لاني اجد راحتي فيه لااتكلم مع احد من غير ابي وامي واختي اما الأخرين لااجيد الكلام معهم بسبب الخوف هم يكرهوني ويستفزوني لااحب الجلوس معهم واقوم بالأعمال المنزلية بسب وجدهم في البيت اخوتي الذكور,القلق والخوف من الاهل او الاخوه يكون بسبب افكار سلبيه تجاهم خاصتا اذا كانوا مختلفى الجنس علبك البحث عن هذه الاسباب ومواجهتها والتفكير بطريقه ايجابيه اكثر مره بعد مره تستطيعى النغلب على هذه الافكار
نفسيا اشعر بعدم الرغبه في شي ولاشي يفررحني وفي بعض الاحيان اختفي عن الناس فجاه ولااحب الخروج من المنزل وافضل الوحده ولايوجد شغف داخلي للحياه ولاشي يسعدني حتى مشاعري ملخبطه,نحتاج إلى علاج نفسي مكثف، وتدريب على الاسترخاء والتركيز لتعديل المزاج.
عند إجراء بعض الفحوصات الروتينيه من أجل العمل قام الطبيب بإجراء تخطيط القلب المرفق ولم يوضح الطبيب مافيه هل يمكن من حضراتكم طمنتنا عن النتيجه علما بأن صاحب التخطيط كان يقوم بنشاط جسدي قبل التخطيط و يعاني من رهاب المرض و القلق,الطول؟الوزن؟ما فيش حاجة خطيرةرهاب المرض والقلق يحتاج إلى علاج نفسي مكثف، وتدريب على الاسترخاء والتركيز .
لدي غضب وتغير المزاج بحيث أكون بخيرونشط حتى أجد نفسي في كومة من الحزن واليأس والعجز وأفقد التركيز ويبدأ رأسي يؤلمني وأشعر بالغضب السريع إذا قام أحدهم بالتحدث معي أو خالفني بطريقة لا تعجبني حتى أنني لا أتقبل المزاح في تلك اللحظة فقط أهرب إلى النوم ولا أتحكم في غضبي أشياءبسيطة أصرخ عليها ويؤلمني رأسي,السن؟الطول؟الوزن؟نخضع لعلاج نفسي مكثف، وتدريب على الاسترخاء والتركيز لتعديل المزاج.
"السلام عليكم
انا شخص كثير القلق والخوف ولم اكن لكن مرت علي مرحلة صعبة تحولت الى شخصية ضعيفة واصبحت على ابسط الاشياء اخاف واعرفها انها لا تخيف لكن ابدأ بصنع تخيلات في عقلي حتى اصبح اخشاها. يوما حدثني صديقي عن انه لديه صعوبات مع نوم فاصبحت انااخاف ايضا من النوم وتراودني عديد من هوس واحلام.ارجو الحل",السن؟نحتاج إلى علاج نفسي مكثف!
لدي مشاكل مع التركيز ، اشعر بعدم القدرة على التركيز و اني مشتتة وانا في عمر ال15 وهذا يؤثر على دراستي فما الحل,الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف في جلسات.
اعاني من فتره نقريبا شهر ونص من شخصيه حساسه جدا حتى اهلي صارو يتجنبوني وما يكلموني وفقدت علاقتي مع صديقتي وما اقدر استمتع جربت اروح اخصائي نفسي ولم استفد هل فيه دوا او حل غيره,احياناً كثير يحضر الى عقلنا افكار سلبيه متكرره تؤثر على ثقتنا بأنفسنا و ثقتنا بالاخرين، و هذا يجعلنا نفهم المواقف بشكل خاطىء لكن مع الجلسات النفسيه و العلاج المعرفى السلوكي تتغير أفكارنا و مشاعرنا و بالتالى سلوكياتنا
عندي ولدي عمره ١٢ سنه عنده خوف علي يقول متحلم بي وصار يخاف علي بشكل ماهوب طبيعي توصل درجة الانهيار اذا تخبيت عنه شوي انهار ويجيه هلع وخوف وسرعات في دقات قلبه,نحتاج إلى علاج نفسي مكثف
"السلام عليكم اخواني الكرام عمري ٣٠ سنة نحيف البدن ومدخن بدأت اشعر بتنميل وتخدر في ذراعي الأيسر مع صعوبة في التنفس وثقل على صدري وأشعر احيانا ان قلبي سيتوقف وسيغمى علي فاضطر الى اخذ نفس عميق
ذهبت للمستشفى وطمأنوني ان كل شيء سليم من ناحية القلب والاكسجين وضغط الدم وانها ليست نوبة قلبية فماهو السبب ؟",نتوقف عن التدخين أولًاوندرس أسباب النحافةونحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
انا انثي عمري 26 سنه أشعر دائما بصوت يتكلم معي داخل دماغي لا يرد ان يعمل اي شي يشعر بثقل كل شي وتضخيم كل الامور رغم صغرها وتفهتها واتحدث مع نفسي في بعض الاحيان مع اشخاص خيالين اشعر بالارهاق والتعب من اقل مجهود وصداع نصفي مزمن واحيانا اعاني من الارق او زايده ساعات النوم فوق 12 ساعه ما التشخيص؟,الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
مرحبا انا اعاني من نوبة هلع قوية جداً واختلال الانية وعم بستعمل دواء ييبزاليكس 20 ملغ من ١٠ اشهر واتحسنت الحمدلله لكن اليوم اكتشفت اني حامل صار لي اسبوعين هل في خطر على الجنين,يراجع الطبيب المعالج وتراجع نشرة الدواءربما نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
"انا اعاني من نوبات هلع شديدة ونوبات قلق وفزع وتوتر وعدم القدرة على النوم
بوخد علاج زيلاكس وليكسوبام لاكن ما استفدت",نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
عانيت من نوبات هلع مما سبب لدي رهاب اجتماعي اعالج عند طبيبة نفسانية وانا اتناول عشبة قدسين مرتين في اليوم مقدار كأس سؤالي هو هل عشبة قدسين تكون خطر علي حياتي؟ وهل يمكن اتعافي باستخدام هذه العشبة؟ وهل مقدار صحيح؟,اسن؟الطول؟الوزن؟الثقة في المعالج بداية طريق التعافي والشفاء ربما نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء التركيز.
أجد صعوبة في التركيز وأنسا الأمور بسرعة وعندما أقوم بإبدال جهد في التفكير رأسي يؤلمني قليلا وأشعر بدوخة.عندما أريد أن أخرج الى التسوق او أقتني بعض اغراض لأستطيع أشعر بالخوف والإرتباك لدرجة لم أعد أحب الخرج .,السن؟الطول؟الوزن؟نحتاج إلى علاج نفسي مكثف، وتدريب على الاسترخاء مع التركيز.
اعاني من قلة التركيز وتشوش الافكار عملت فحص فيتامين B12 وكان عندي السنة الماضية 113 واخذت 6 ابر من فيتامين B12 مع فيتامينات اخرى وكان طول الابرة 5 سم فرجعت فحصته السنة هاي فوصل نصف نسبته الطبيعية فكم ابرة يجب ان اخذ وكم المدة,نتواصل ونتشاور مع الطبيب المعالج لمراجعة النتائج نمع ما قبلها.. ثم ربما نحتاج إلى علاج نفسي مكثف وتدريب على الاسترخاء والتركيز.
"لدي خوف من الموت بسبب وجودكتل بالثدي و لاني لم اجد من يعمل لي خزعة ثدي وبسبب التأخير بدء عندي وساوس الموت وما بعده و اشعر بنوبات هلع و ضربات قلب سريعه
و فقدان الشهيه و النوم",كتل الثدي معظمها طبيعية وحميدةوعلينا التوجه إلى أقرب مركز طبي لاخذ خزعة للتأكد.الموت يأتي بسبب  وبلا سبب ويأتي في موعده، وهو نهاية وبداية،  فلا خوف منه نحتاج إلى علاج نفسي وتدريب على الاسترخاء والتركيز.
كان لدي ضغط يرتفع من فترة الى فترة و جاء يوم إرتفعا لدي الضغط فشعرت بدوخة شعور الموت فدهبت الطبيب فأعطاني تحاليل اللول 24 ساعة و أشعة في الأشعة سليمة الغدد لكن في تحليل تبين أني لدي الظوبامين مرتفع فأعطاني دواء بيزولوكس 5ميلغرام حبة كل يوم و الضغط الٱن أصبح جيد لكن الٱن أشعر يتعب و دوخة و الموت,طول؟وزن؟نوقف التدخين أولًاونناقش الطبيب المعالج في الأدوية ونسأله أيضاً: هل نحتاج إلى جلسات علاج نفسي مكثفة، مع تدريب على الاسترخاء والتركيز؟؟؟!!!
